ID	EH1516A	EH1516C	EH1516D	EH217A	EH217C	EH217D
"102467"	5	8	13	74	102	149
"102468"	64	19	39	167	248	110
"102478"	253	186	199	598	588	928
"102483"	150	48	25	72	164	70
"102485"	0	1	1	0	5	2
"102487"	3	2	5	239	198	155
"102488"	5	2	6	613	648	1157
"102493"	0	1	0	2	12	5
"102508"	387	119	127	329	241	575
"102516"	8	0	4	849	310	132
"102532"	0	0	0	26	86	32
"102542"	5	12	27	76	100	71
"102546"	3	11	20	195	269	112
"102557"	31	5	4	70	138	110
"102570"	4	11	9	58	75	58
"102587"	8	10	24	537	578	510
"102588"	7	7	12	16	22	101
"102590"	827	219	136	29	210	34
"102608"	16	60	95	106	202	215
"102614"	0	0	0	2	3	2
"102626"	40	8	24	25	59	23
"102627"	7	3	3	16	33	18
"102628"	57	28	36	89	197	128
"102634"	324	99	79	80	297	91
"102636"	125	48	65	38	34	36
"102655"	0	9	23	3	3	2
"102656"	4	3	12	4	3	18
"102665"	912	2637	1956	2241	5763	3973
"102670"	1	0	2	7	11	2
"102676"	18	17	18	10	25	5
"102679"	10	10	4	11	10	10
"102681"	81	47	8	23	40	27
"102687"	395	127	40	48	53	29
"102688"	28	9	12	187	273	322
"102700"	772	135	137	1302	1299	752
"102705"	979	1827	1860	254	317	295
"102706"	1	0	0	11	18	14
"102713"	184	107	188	403	412	462
"102714"	177	280	574	21	35	17
"102722"	445	962	696	309	286	190
"102729"	38	20	48	118	146	149
"102730"	27	16	24	69	80	78
"102732"	22	34	57	41	219	174
"102737"	102	147	232	560	391	962
"102755"	86	139	185	1271	1467	1004
"102763"	7	3	2	441	561	368
"102766"	96	65	62	169	146	131
"102767"	1037	1368	984	606	565	740
"102768"	53	20	16	79	141	78
"102772"	38	17	18	15	45	16
"102779"	48	32	35	49	98	70
"102783"	358	350	965	522	245	794
"102784"	0	0	0	3	3	15
"102794"	379	324	181	258	89	137
"102797"	48	37	90	99	101	159
"102803"	98	77	120	125	276	225
"102807"	395	118	109	364	478	421
"102818"	84	50	61	97	138	123
"102821"	2	7	20	14	20	7
"102830"	8	2	5	5	6	4
"102833"	60	68	134	82	116	107
"102836"	29	92	63	192	271	250
"102838"	67	169	310	271	512	362
"102840"	0	0	0	0	0	0
"102850"	0	0	0	2	3	9
"102851"	0	0	0	1	3	1
"102852"	19	27	52	58	75	84
"102855"	147	186	252	318	459	397
"102859"	96	49	71	201	301	191
"102866"	15	13	27	88	129	54
"102868"	7	3	6	16	35	18
"102870"	4271	209	154	1708	664	407
"102881"	87	16	27	394	632	701
"102888"	878	1346	2056	20361	10789	17822
"102900"	17	16	25	64	127	71
"102904"	0	1	1	12	10	25
"102906"	19	8	8	88	125	79
"102910"	0	0	0	3	5	3
"102911"	11	26	35	54	123	81
"102916"	0	0	1	3	8	3
"102918"	718	276	190	0	1	1
"102924"	19	56	134	31	21	39
"102945"	167	43	50	14	40	48
"102951"	55	40	72	202	137	151
"102968"	110	165	165	42	122	86
"102975"	1	31	77	47	75	192
"102976"	0	0	0	182	343	211
"102993"	0	10	32	6	93	32
"102994"	85	80	139	1	0	2
"102995"	399	919	1177	898	585	2051
"102996"	0	0	0	1	0	0
"102999"	80	67	40	179	284	130
"103000"	139	30	73	240	280	192
"103004"	340	7991	8245	4541	9828	17758
"103015"	570	499	435	325	496	636
"103018"	217	56	90	67	133	176
"103021"	29	21	33	51	64	56
"103027"	1184	1194	1335	17	12	4
"103032"	69	38	59	139	288	191
"103042"	5	28	41	51	112	52
"103044"	141	36	56	341	244	168
"103064"	0	0	0	112	79	105
"103065"	130	115	149	670	1045	944
"103101"	0	11	5	125	158	107
"103110"	1	1	1	25	43	32
"103111"	0	2	0	88	148	199
"103113"	49	16	47	96	105	70
"103122"	1	0	2	134	293	181
"103124"	64	49	64	145	145	130
"103136"	119	161	215	30	173	98
"103141"	108	103	227	278	430	358
"103143"	1356	45	15	80	10	14
"103148"	2683	1861	1145	2083	1269	1633
"103150"	16	138	66	150	210	235
"103158"	74	31	26	87	147	83
"103163"	1	0	2	0	1	2
"103164"	6	20	80	9	18	20
"103169"	0	4	4	0	0	0
"103178"	0	0	0	157	345	435
"103182"	1086	2312	3105	415	189	212
"103183"	0	0	0	0	0	0
"103192"	36	28	124	97	154	139
"103204"	0	0	1	20	19	22
"103206"	132	90	192	954	1219	1095
"103209"	95	49	64	728	540	719
"103210"	14	0	8	17	33	2
"103216"	7	11	14	14	24	9
"103219"	3	6	3	10	37	21
"103228"	116	97	126	172	196	130
"103230"	0	0	0	3	2	0
"103236"	2422	6105	3112	2010	1772	4572
"103249"	942	358	249	517	266	220
"103255"	104	34	65	130	36	80
"103267"	19	27	25	64	122	105
"103268"	7	2	7	20	41	32
"103280"	13	3	4	14	26	23
"103289"	17	204	410	753	1399	772
"103292"	778	209	631	850	939	719
"103293"	0	0	0	0	0	1
"103307"	32	17	33	118	160	116
"103309"	111	72	105	460	292	130
"103327"	86	34	38	162	197	154
"103336"	98	27	41	337	313	309
"103339"	310	257	401	1056	1007	975
"103350"	59	0	0	0	0	0
"103357"	1575	1258	478	1280	1163	1251
"103361"	232	113	259	164	180	200
"103364"	22	43	75	77	141	75
"103368"	94	491	366	602	1027	808
"103373"	113	49	121	150	145	152
"103377"	0	0	1	8	4	7
"103379"	0	2	4	102	369	208
"103393"	39	84	172	171	202	185
"103399"	2	0	2	59	53	56
"103401"	4473	7592	1585	4062	8436	7286
"103406"	0	2	1	0	1	0
"103417"	2	2	0	3	1	0
"103422"	4	16	21	104	82	80
"103449"	135	138	163	623	511	662
"103456"	14	15	44	615	584	1183
"103471"	120	190	770	6	7	8
"103477"	13	11	8	0	0	0
"103481"	1	0	1	14	15	35
"103493"	36	24	33	44	41	46
"103494"	9	9	24	7	7	20
"103495"	37	4	16	114	62	93
"103498"	4	1	0	42	50	12
"103514"	278	4	0	14	3	0
"103532"	4	5	13	1028	777	1543
"103541"	63	25	31	22	51	17
"103542"	0	0	9	33	70	38
"103547"	228	38	43	53	53	49
"103549"	14	4	11	88	161	84
"103555"	27	19	18	29	46	36
"103556"	4	2	4	9	3	13
"103561"	88	35	88	104	144	140
"103574"	46	62	84	40	75	75
"103576"	231	296	123	89	11	16
"103579"	7	10	95	41	10	35
"103589"	31	60	131	50	89	78
"103590"	256	163	215	299	384	375
"103612"	35	130	205	31	24	121
"103613"	80	110	158	83	227	66
"103624"	0	0	0	124	358	566
"103625"	18	91	104	97	136	143
"103629"	279	131	136	248	296	285
"103631"	59	11	14	128	253	137
"103638"	30	14	31	269	299	162
"103641"	0	0	0	0	0	0
"103643"	117	68	46	398	457	351
"103645"	300	268	111	503	466	439
"103655"	805	287	243	850	488	620
"103660"	0	0	0	11	29	20
"103665"	21	12	11	7	5	4
"103666"	3	8	6	30	29	29
"103667"	43	184	792	631	512	695
"103671"	16	8	11	932	1545	1347
"103681"	109	81	125	28	46	65
"103684"	1254	361	104	228	803	403
"103689"	20	23	75	355	209	158
"103691"	3	3	1	95	90	63
"103697"	52	45	103	45	67	59
"103702"	2	4	9	6	10	8
"103706"	21	14	16	43	85	49
"103709"	62	218	242	383	1062	707
"103727"	1331	488	154	713	563	351
"103735"	1	3	1	31	237	215
"103747"	2344	2772	2700	2476	2517	3171
"103749"	26	25	19	108	186	105
"103754"	9	20	23	24	15	69
"103758"	25	34	58	106	180	112
"103765"	47	43	67	97	176	179
"103776"	41	47	51	155	265	215
"103778"	67	28	60	118	136	138
"103782"	63	78	138	311	435	396
"103783"	771	1982	1384	864	461	633
"103784"	33	19	42	229	325	246
"103787"	18	46	56	40	29	116
"103789"	68	93	83	96	237	139
"103797"	282	103	125	49	77	59
"103805"	15	6	22	135	196	207
"103806"	38	23	51	1375	978	653
"103815"	159	81	75	355	231	235
"103819"	1397	1095	219	1366	612	770
"103835"	196	128	126	414	554	368
"103846"	46	101	93	259	637	422
"103848"	194	57	61	207	330	247
"103855"	23	14	22	205	227	238
"103863"	0	0	0	1	0	2
"103867"	1	18	7	12	16	18
"103884"	1	1	2	292	548	399
"103885"	56	87	83	0	0	0
"103905"	11	7	13	208	193	223
"103914"	5	5	15	36	53	28
"103924"	5	3	0	7	5	9
"103927"	23	168	332	786	163	277
"103951"	17	63	97	26	26	13
"103952"	99	47	65	331	221	252
"103969"	60	28	21	282	277	141
"103974"	6	4	8	37	49	28
"103975"	5	15	34	35	74	20
"103987"	156	53	41	79	112	80
"103991"	21	11	25	24	35	32
"104001"	98	56	52	395	561	556
"104002"	56	27	26	93	117	89
"104009"	86	48	92	215	253	243
"104010"	17	8	12	0	0	0
"104012"	622	993	1314	4786	2735	2999
"104019"	225	321	254	189	91	309
"104030"	52	29	16	41	57	34
"104031"	97	44	95	59	114	66
"104037"	206	459	1283	158	53	371
"104042"	0	1	1	4	4	3
"104046"	6	3	9	0	7	11
"104047"	89	76	82	0	2	0
"104048"	104	194	345	322	712	498
"104049"	140	45	4	18	14	19
"104054"	8	24	34	192	142	82
"104078"	444	403	1169	372	638	486
"104080"	8	10	10	240	217	287
"104086"	3	15	22	19	28	39
"104088"	3	12	2	0	0	0
"104089"	4	14	22	47	61	64
"104093"	83	9	25	56	77	53
"104097"	0	0	0	0	0	0
"104102"	13	5	28	10	18	10
"104118"	183	369	446	631	869	725
"104127"	1	1	1	0	0	0
"104129"	13	1	10	27	37	39
"104135"	22	11	31	112	226	190
"104137"	6	0	6	23	58	32
"104139"	70	66	100	299	275	252
"104143"	0	0	0	0	0	0
"104149"	1069	291	613	529	751	510
"104152"	498	31	11	30	75	52
"104155"	122	340	512	611	773	734
