,x
2268,56174
2269,106560
2270,249581
2271,198292
2272,44743
2273,461826
2274,198295
2275,448455
2276,198321
2277,198415
2278,414778
2279,96990
2280,461868
2281,97003
2282,198606
2283,198672
2284,198709
2285,448565
2286,198748
2287,198780
2288,218580
2289,106600
2290,438643
2291,106684
2292,218815
2293,218837
2294,218860
2295,106716
2296,428400
2297,438657
2298,218935
2299,121189
2300,249708
2301,219047
2302,465854
2303,106804
2304,219116
2305,258905
2306,121299
2307,219224
2308,453481
2309,121308
2310,438759
2311,106963
2312,219475
2313,219520
2314,250066
2315,121387
2316,250081
2317,219566
2318,438808
2319,107040
2320,107041
2321,107052
2322,359713
2323,219605
2324,107073
2325,465958
2326,219647
2327,471229
2328,453596
2329,453598
2330,107175
2331,453607
2332,453608
2333,219862
2334,422697
2335,453612
2336,219870
2337,438894
2338,438897
2339,453616
2340,438902
2341,438904
2342,219897
2343,219900
2344,438907
2345,219907
2346,219908
2347,219913
2348,219914
2349,466014
2350,68889
2351,453629
2352,219927
2353,438923
2354,219951
2355,250172
2356,460181
2357,471240
2358,422706
2359,312411
2360,107245
2361,220023
2362,68953
2363,220069
2364,107291
2365,438972
2366,372445
2367,198838
2368,198851
2369,198900
2370,198901
2371,97197
2372,198917
2373,433117
2374,448603
2375,461965
2376,448641
2377,97291
2378,433188
2379,199126
2380,199139
2381,461998
2382,97327
2383,199199
2384,199202
2385,448666
2386,220219
2387,439006
2388,250310
2389,460216
2390,460218
2391,250407
2392,107528
2393,453778
2394,558171
2395,220753
2396,107586
2397,220772
2398,220773
2399,107610
2400,107624
2401,220855
2402,466162
2403,453822
2404,250471
2405,220923
2406,453832
2407,220947
2408,220994
2409,453848
2410,107693
2411,221039
2412,221054
2413,221100
2414,453869
2415,446660
2416,221104
2417,107737
2418,460267
2419,221430
2420,471310
2421,69253
2422,428642
2423,107936
2424,107969
2425,372643
2426,250754
2427,121722
2428,221606
2429,439324
2430,428651
2431,44278
2432,221637
2433,221638
2434,360512
2435,466309
2436,221645
2437,439327
2438,108000
2439,453996
2440,439332
2441,631893
2442,221658
2443,53075
2444,108007
2445,466318
2446,108024
2447,466319
2448,54168
2449,69373
2450,466320
2451,439357
2452,69315
2453,557495
2454,454011
2455,360557
2456,360563
2457,221729
2458,69322
2459,221734
2460,466323
2461,108042
2462,108043
2463,439359
2464,221746
2465,108048
2466,221748
2467,108051
2468,312679
2469,521925
2470,466328
2471,221759
2472,108057
2473,360572
2474,439366
2475,439369
2476,422850
2477,108063
2478,69310
2479,439380
2480,108145
2481,69416
2482,431656
2483,94749
2484,193762
2485,460918
2486,193814
2487,94790
2488,193867
2489,193872
2490,193880
2491,193893
2492,431699
2493,193905
2494,193909
2495,193956
2496,94895
2497,194121
